facebook/react,chalecao,545256727,20511,2,2,2
facebook/react,TryingToImprove,544821642,20506,2,45,0
facebook/react,sebmarkbage,542841366,20487,1,26,4
facebook/react,LucasPickering,541431533,20477,3,77,9
facebook/react,eps1lon,536552786,20432,1,9,0
facebook/react,sebmarkbage,536004203,20429,1,24,5
facebook/react,gaearon,535669442,20426,1,48,3
facebook/react,HelloAny,533321608,20390,1,3,4
facebook/react,tsinglemon,529072235,20350,1,2,1
facebook/react,ideffix,528251585,20333,2,2,8
facebook/react,sarathps93,524905696,20310,2,81,41
facebook/react,PoByBolek,523161806,20290,3,133,0
facebook/react,terminatorheart,522350871,20277,1,1,3
facebook/react,ZoteTheMighty,520933270,20256,6,76,47
facebook/react,acdlite,520810867,20255,100,1887,7098
facebook/react,matthargett,519685447,20233,13,34,28
facebook/react,sebmarkbage,518843292,20218,1,43,0
facebook/react,behnammodi,518806409,20216,4,9,17
facebook/react,miguelsolano,517207924,20192,2,23,0
facebook/react,denisx,517160877,20190,8,9,9
facebook/react,AmauryLiet,516822543,20183,3,78,1
facebook/react,oltrep,516385264,20169,2,130,0
facebook/react,oltrep,514968208,20155,2,393,1
facebook/react,acdlite,512633607,20133,20,2718,1653
facebook/react,suresh1999,511448223,20115,1,1,1
facebook/react,TedDriggs,510960936,20110,1,19,1
facebook/react,saveliytomak,510144497,20102,1,1,3
facebook/react,antoniopacheco,509240763,20087,3,54,4
facebook/react,upbooo,508856327,20084,4,7,7
facebook/react,lewisl9029,505620276,20051,2,35,9
facebook/react,matthargett,501056161,19997,95,381,337
facebook/react,SMAKSS,500888697,19996,9,30,26
facebook/react,omarsy,500771491,19994,3,40,2
facebook/react,anatoliy8493,500066704,19984,144,296,296
facebook/react,ilhamsyahids,498888731,19972,33,8,14
facebook/react,matthargett,498774024,19971,237,1002,950
facebook/react,ghost,498373802,19967,1,0,6
facebook/react,srubin,497530025,19957,2,61,8
facebook/react,abnud1,494293179,19918,4,124,304
facebook/react,iscorekin,494026149,19917,2,30,15
facebook/react,taneliang,491799887,19892,22,291,124
facebook/react,chrstnv,489888186,19869,2,667,1
facebook/react,omarsy,489827244,19867,4,71,6
facebook/react,MichaelBelousov,486775920,19833,2,38,1
facebook/react,thejessicafelts,486139242,19825,1,4,4
facebook/react,thejessicafelts,485747958,19822,1,15,14
facebook/react,bpernick,478137678,19753,1,1,1
facebook/react,inottn,476355450,19730,2,0,4
facebook/react,Jchinonso,474864087,19710,12,143,47
facebook/react,jamesknelson,474673257,19709,7,28,28
facebook/react,overlookmotel,474102270,19702,1,52,0
facebook/react,harjeevs17,469675440,19641,1,1,1
facebook/react,snyamathi,469193939,19631,1,1,0
facebook/react,brijeshprasad89,468344312,19622,1,1,1
facebook/react,adnaanbheda,468180421,19620,1,5,0
facebook/react,koto,466153372,19588,3,87,21
facebook/react,trueadm,464838134,19557,14,203,42
facebook/react,trueadm,464538320,19554,15,74,3
facebook/react,monkingxue,462763163,19525,1,47,20
facebook/react,enahsor,456789505,19456,2,9,12
facebook/react,trupti0101,456577078,19451,3,4,0
facebook/react,realrains,456249944,19448,1,1,1
facebook/react,trueadm,455318159,19431,1,28,0
facebook/react,rickhanlonii,452901184,19408,3,45,16
facebook/react,acdlite,449696594,19377,2,60,1
facebook/react,MichaelDeBoey,449155220,19355,4,12,0
facebook/react,Reflex-Gravity,448760050,19345,27,156,21
facebook/react,eps1lon,447768564,19319,3,77,12
facebook/react,Ashikpaul,447735394,19317,1,2,2
facebook/react,bl00mber,430902394,19097,24,702,0
facebook/react,louisscruz,429574971,19095,5,839,164
facebook/react,sebmarkbage,425399924,19052,5,130,11
facebook/react,sebmarkbage,425390346,19051,5,124,11
facebook/react,sebmarkbage,425380099,19050,1,66,45
facebook/react,trueadm,424550686,19035,1,2,0
facebook/react,bl00mber,424185560,19028,4,134,8
facebook/react,acdlite,419198339,18942,7,389,242
facebook/react,asheshvidyut7,419070528,18939,5,48,1
facebook/react,lunaruan,414979263,18865,17,941,9
facebook/react,dvoytenko,414932539,18861,2,265,9
facebook/react,sebmarkbage,413805619,18836,9,347,2
facebook/react,sebmarkbage,412640911,18807,3,61,24
facebook/react,ChrisDobby,409093350,18746,5,130,13
facebook/react,dubzzz,408188565,18721,4,868,20
facebook/react,trueadm,406773663,18690,2,11,2
facebook/react,bl00mber,406302583,18681,2,198,121
facebook/react,dubzzz,405554854,18674,1,79,0
facebook/react,trueadm,405499195,18670,4,8,3
facebook/react,acdlite,403457929,18612,28,1929,2243
facebook/react,bl00mber,398766069,18493,3,71,4
facebook/react,threepointone,382477715,18196,36,168,205
facebook/react,trueadm,372416612,17998,1,139,128
facebook/react,acdlite,370597171,17968,6,238,26
facebook/react,acdlite,355417468,17669,27,2089,573
facebook/react,threepointone,350852350,17556,22,478,22
facebook/react,sebmarkbage,350188696,17542,3,14,10
facebook/react,gejimayu,346171133,17473,8,83,3
facebook/react,bpas247,344222308,17427,2,31,0
facebook/react,bvaughn,336431592,17267,2,40,4
facebook/react,sebmarkbage,333990788,17217,1,2,1
